"Date","Price","Open","High","Low","Vol.","Change %"
"06-12-2024","14.1400","14.5275","15.0225","14.0450","","-2.67%"
"05-12-2024","14.5275","14.4500","15.7050","14.0550","","0.54%"
"04-12-2024","14.4500","14.3725","14.7975","14.1100","","0.54%"
"03-12-2024","14.3725","14.7000","14.8900","14.2350","","-2.23%"
"02-12-2024","14.7000","14.4250","15.0800","13.3125","","1.91%"
"29-11-2024","14.4250","15.2050","15.4575","14.3325","","-5.13%"
"28-11-2024","15.2050","14.6250","15.5625","14.2700","","3.97%"
"27-11-2024","14.6250","15.3050","15.3050","13.2450","","-4.44%"
"26-11-2024","15.3050","15.3025","16.2600","13.8725","","0.02%"
"25-11-2024","15.3025","16.0975","16.8650","13.6300","","-4.94%"
"22-11-2024","16.0975","15.9900","18.6700","12.7525","","0.67%"
"21-11-2024","15.9900","15.6625","16.7800","14.8375","","2.09%"
"19-11-2024","15.6625","15.1675","16.1850","12.7325","","3.26%"
"18-11-2024","15.1675","14.7750","16.5800","13.7550","","2.66%"
"14-11-2024","14.7750","15.4350","15.6850","13.4075","","-4.28%"
"13-11-2024","15.4350","14.5900","15.8650","13.9325","","5.79%"
"12-11-2024","14.5900","14.2700","14.8375","12.7400","","2.24%"
"11-11-2024","14.2700","14.4700","15.4700","13.1175","","-1.38%"
"08-11-2024","14.4700","14.9400","15.7250","14.3925","","-3.15%"
"07-11-2024","14.9400","14.8675","15.5225","14.2675","","0.49%"
"06-11-2024","14.8675","16.1225","20.7500","14.7125","","-7.78%"
"05-11-2024","16.1225","16.6875","19.0200","15.7950","","-3.39%"
"04-11-2024","16.6875","15.9025","17.6000","14.7775","","4.94%"
"01-11-2024","15.9025","15.5500","16.1250","13.6325","","2.27%"
"31-10-2024","15.5500","15.5100","16.2400","14.6525","","0.26%"
"30-10-2024","15.5100","14.5150","15.7000","14.2800","","6.85%"
"29-10-2024","14.5150","14.2900","15.0275","13.5575","","1.57%"
"28-10-2024","14.2900","14.6325","15.4775","13.5350","","-2.34%"
"25-10-2024","14.6325","13.9700","15.0800","13.3500","","4.74%"
"24-10-2024","13.9700","14.6225","14.8975","12.6950","","-4.46%"
"23-10-2024","14.6225","14.3950","15.0325","11.7400","","1.58%"
"22-10-2024","14.3950","13.7625","14.5150","9.4700","","4.60%"
"21-10-2024","13.7625","13.0375","14.1950","12.5525","","5.56%"
"18-10-2024","13.0375","13.3875","14.0600","12.8675","","-2.61%"
"17-10-2024","13.3875","13.0525","13.4650","11.0625","","2.57%"
"16-10-2024","13.0525","13.0025","13.5600","11.4350","","0.38%"
"15-10-2024","13.0025","12.9950","13.3625","10.9225","","0.06%"
"14-10-2024","12.9950","13.2200","13.7350","12.9150","","-1.70%"
"11-10-2024","13.2200","13.4950","13.7025","11.5350","","-2.04%"
"10-10-2024","13.4950","14.1225","14.1225","11.7275","","-4.44%"
"09-10-2024","14.1225","14.5875","14.5875","12.7000","","-3.19%"
"08-10-2024","14.5875","15.0800","15.5550","13.8775","","-3.27%"
"07-10-2024","15.0800","14.1275","15.5000","13.6175","","6.74%"
"04-10-2024","14.1275","13.1700","14.4800","12.2850","","7.27%"
"03-10-2024","13.1700","11.9875","13.9275","11.6850","","9.86%"
"01-10-2024","11.9875","12.7875","12.7875","11.7125","","-6.26%"
"30-09-2024","12.7875","11.9625","13.2375","11.6000","","6.90%"
"27-09-2024","11.9625","12.0025","12.0800","10.5025","","-0.33%"
"26-09-2024","12.0025","12.7425","12.7425","11.3525","","-5.81%"
"25-09-2024","12.7425","13.3925","13.6100","8.9800","","-4.85%"
"24-09-2024","13.3925","13.7850","14.1050","12.7425","","-2.85%"
"23-09-2024","13.7850","12.7900","14.0300","12.4275","","7.78%"
"20-09-2024","12.7900","12.4700","13.1100","10.9025","","2.57%"
"19-09-2024","12.4700","13.3725","13.3725","12.1000","","-6.75%"
"18-09-2024","13.3725","12.5900","13.8475","12.2600","","6.22%"
"17-09-2024","12.5900","12.4600","12.7500","11.8825","","1.04%"
"16-09-2024","12.4600","12.5500","12.9550","12.3100","","-0.72%"
"13-09-2024","12.5500","13.1825","13.1825","12.4675","","-4.80%"
"12-09-2024","13.1825","13.6275","13.6275","11.1400","","-3.27%"
"11-09-2024","13.6275","13.3600","13.7650","11.3250","","2.00%"
"10-09-2024","13.3600","14.2375","14.2375","12.1675","","-6.16%"
"09-09-2024","14.2375","15.2175","15.5625","14.1100","","-6.44%"
"06-09-2024","15.2175","14.2075","15.6725","12.3525","","7.11%"
"05-09-2024","14.2075","14.3775","14.3775","13.3350","","-1.18%"
"04-09-2024","14.3775","13.8425","14.5550","12.8050","","3.86%"
"03-09-2024","13.8425","14.0600","14.1500","12.6900","","-1.55%"
"02-09-2024","14.0600","13.3925","14.2500","12.6275","","4.98%"
"30-08-2024","13.3925","13.7875","13.9050","12.5400","","-2.86%"
"29-08-2024","13.7875","13.9500","14.1350","12.4825","","-1.16%"
"28-08-2024","13.9500","13.6325","14.0850","12.0350","","2.33%"
"27-08-2024","13.6325","13.7950","14.0100","12.7100","","-1.18%"
"26-08-2024","13.7950","13.5525","13.9925","12.0100","","1.79%"
"23-08-2024","13.5525","13.0000","13.6200","10.8400","","4.25%"
"22-08-2024","13.0000","13.3325","13.7825","10.9575","","-2.49%"
"21-08-2024","13.3325","13.8200","14.0450","11.8225","","-3.53%"
"20-08-2024","13.8200","14.3150","14.3150","11.4250","","-3.46%"
"19-08-2024","14.3150","14.4025","14.8300","13.1975","","-0.61%"
"16-08-2024","14.4025","15.4350","15.4350","12.9500","","-6.69%"
"14-08-2024","15.4350","16.1675","16.2200","13.8225","","-4.53%"
"13-08-2024","16.1675","15.8675","16.3750","14.2225","","1.89%"
"12-08-2024","15.8675","15.3350","16.5575","13.3950","","3.47%"
"09-08-2024","15.3350","16.6025","16.6025","13.4325","","-7.63%"
"08-08-2024","16.6025","16.1700","17.2300","14.3800","","2.67%"
"07-08-2024","16.1700","18.7425","18.7425","13.7225","","-13.73%"
"06-08-2024","18.7425","20.3675","20.3675","14.8675","","-7.98%"
"05-08-2024","20.3675","14.3200","23.1525","13.9075","","42.23%"
"02-08-2024","14.3200","12.9300","14.5100","11.6925","","10.75%"
"01-08-2024","12.9300","13.2500","13.3050","11.9825","","-2.42%"
"31-07-2024","13.2500","12.8800","13.3875","11.6225","","2.87%"
"30-07-2024","12.8800","12.9450","13.2600","11.7150","","-0.50%"
"29-07-2024","12.9450","12.2475","13.2550","12.0275","","5.70%"
"26-07-2024","12.2475","12.6175","13.1350","11.9775","","-2.93%"
"25-07-2024","12.6175","11.7625","13.2175","11.2750","","7.27%"
"24-07-2024","11.7625","12.7475","14.0375","11.6175","","-7.73%"
"23-07-2024","12.7475","15.4375","16.0650","12.5925","","-17.43%"
"22-07-2024","15.4375","14.8250","15.6250","13.1150","","4.13%"
"19-07-2024","14.8250","14.5100","14.9650","12.7375","","2.17%"
"18-07-2024","14.5100","14.2225","14.7100","13.7500","","2.02%"
"16-07-2024","14.2225","14.1875","14.5875","13.8025","","0.25%"
"15-07-2024","14.1875","13.7250","14.3400","13.5675","","3.37%"
"12-07-2024","13.7250","13.9950","14.0525","13.2225","","-1.93%"
"11-07-2024","13.9950","14.4325","14.4325","12.6800","","-3.03%"
"10-07-2024","14.4325","14.2800","14.9150","13.4075","","1.07%"
"09-07-2024","14.2800","13.6000","14.4025","12.7900","","5.00%"
"08-07-2024","13.6000","12.6950","13.7575","12.6950","","7.13%"
"05-07-2024","12.6950","12.8550","12.9900","12.0800","","-1.24%"
"04-07-2024","12.8550","13.2050","13.2050","12.2575","","-2.65%"
"03-07-2024","13.2050","13.6400","13.7150","12.8700","","-3.19%"
"02-07-2024","13.6400","13.8300","14.0125","13.3225","","-1.37%"
"01-07-2024","13.8300","13.8025","14.2275","13.7925","","0.20%"
"28-06-2024","13.8025","14.1525","14.2900","13.6875","","-2.47%"
"27-06-2024","14.1525","14.0450","14.6100","13.9150","","0.77%"
"26-06-2024","14.0450","14.3125","14.5475","13.9850","","-1.87%"
"25-06-2024","14.3125","14.0575","14.4550","13.8425","","1.81%"
"24-06-2024","14.0575","13.1800","14.2675","13.1500","","6.66%"
"21-06-2024","13.1800","13.3450","13.5900","12.4750","","-1.24%"
"20-06-2024","13.3450","13.7125","14.0600","13.1025","","-2.68%"
"19-06-2024","13.7125","12.9650","13.8150","11.6300","","5.77%"
"18-06-2024","12.9650","12.8225","13.4200","12.6250","","1.11%"
"14-06-2024","12.8225","13.4875","13.4875","12.6550","","-4.93%"
"13-06-2024","13.4875","14.3875","14.3875","13.3125","","-6.26%"
"12-06-2024","14.3875","14.7650","14.7650","13.1650","","-2.56%"
"11-06-2024","14.7650","16.3975","16.3975","14.6750","","-9.96%"
"10-06-2024","16.3975","16.8825","17.2500","16.1700","","-2.87%"
"07-06-2024","16.8825","16.8000","17.1450","16.3725","","0.49%"
"06-06-2024","16.8000","18.8850","18.8850","16.5575","","-11.04%"
"05-06-2024","18.8850","26.7475","26.9250","18.6575","","-29.40%"
"04-06-2024","26.7475","20.9375","31.7100","18.8025","","27.75%"
"03-06-2024","20.9375","24.6025","24.6025","19.1150","","-14.90%"
"31-05-2024","24.6025","24.1750","24.8100","22.5975","","1.77%"
"30-05-2024","24.1750","24.1750","24.5200","22.7525","","0.00%"
"29-05-2024","24.1750","24.1950","24.7725","23.5450","","-0.08%"
"28-05-2024","24.1950","23.1925","24.4750","22.0250","","4.32%"
"27-05-2024","23.1925","21.7100","26.1950","18.4350","","6.83%"
"24-05-2024","21.7100","21.3800","21.8975","20.5900","","1.54%"
"23-05-2024","21.3800","21.4675","24.2150","18.8400","","-0.41%"
"22-05-2024","21.4675","21.8100","22.2925","18.1850","","-1.57%"
"21-05-2024","21.8100","20.5250","22.3025","20.5250","","6.26%"
"18-05-2024","20.5250","19.7975","20.9450","17.3375","","3.67%"
"17-05-2024","19.7975","19.9950","20.3675","18.9800","","-0.99%"
"16-05-2024","19.9950","20.2725","21.1125","18.9650","","-1.37%"
"15-05-2024","20.2725","20.1950","20.6575","19.8700","","0.38%"
"14-05-2024","20.1950","20.6000","21.8750","20.1125","","-1.97%"
"13-05-2024","20.6000","18.4725","21.4850","18.4725","","11.52%"
"10-05-2024","18.4725","18.2000","19.0075","17.9950","","1.50%"
"09-05-2024","18.2000","17.0800","19.1725","17.0800","","6.56%"
"08-05-2024","17.0800","17.0075","18.3175","16.4625","","0.43%"
"07-05-2024","17.0075","16.6000","17.6425","16.6000","","2.45%"
"06-05-2024","16.6000","14.6175","16.9625","14.6175","","13.56%"
"03-05-2024","14.6175","13.4450","15.3125","13.4450","","8.72%"
"02-05-2024","13.4450","12.8700","13.9475","12.8700","","4.47%"
"30-04-2024","12.8700","12.2350","13.2125","12.2350","","5.19%"
"29-04-2024","12.2350","10.9250","12.4875","10.9250","","11.99%"
"26-04-2024","10.9250","10.7300","11.3150","10.5875","","1.82%"
"25-04-2024","10.7300","10.2750","11.4575","10.2600","","4.43%"
"24-04-2024","10.2750","10.1950","11.1325","9.9450","","0.78%"
"23-04-2024","10.1950","12.7000","12.7000","9.8575","","-19.72%"
"22-04-2024","12.7000","13.4575","13.4575","12.6125","","-5.63%"
"19-04-2024","13.4575","13.0400","14.4125","11.9150","","3.20%"
"18-04-2024","13.0400","12.6150","13.3875","12.0275","","3.37%"
"16-04-2024","12.6150","12.4675","12.9250","12.3400","","1.18%"
"15-04-2024","12.4675","11.5325","12.7375","11.3075","","8.11%"
"12-04-2024","11.5325","11.1075","11.6050","11.1075","","3.83%"
"10-04-2024","11.1075","11.3550","11.3550","10.9850","","-2.18%"
"09-04-2024","11.3550","11.6100","11.6125","10.6175","","-2.20%"
"08-04-2024","11.6100","11.3375","11.7425","11.1325","","2.40%"
"05-04-2024","11.3375","11.2200","11.6825","11.0350","","1.05%"
